Time of check time of use,[2, 20, 28, 30],24.0,[0.0, 10.714285714285714, 16.666666666666664, 35.0],13.69047619047619
Wrong sizeof argument,[8, 9, 31, 109],20.0,[12.5, 16.51376146788991, 35.483870967741936, 88.88888888888889],25.99881621781592
Misused comma operator,[0, 0, 7, 3095],3.5,[0.0, 0, 0.12924071082390953, 0],0.0
Unchecked return value from library,[41, 53, 70, 76],61.5,[21.951219512195124, 10.526315789473683, 28.30188679245283, 40.0],25.12655315232398
Incorrect sizeof expression,[4, 9, 30, 31],19.5,[75.0, 12.903225806451612, 33.33333333333333, 60.0],46.666666666666664
Untrusted array index read,[1, 10, 38, 79],24.0,[0.0, 5.263157894736842, 0.0, 100.0],2.631578947368421
Read from pointer after free,[1, 2, 7, 104],4.5,[100.0, 31.73076923076923, 100.0, 0.0],65.86538461538461
Sizeof not portable,[1, 6, 13, 37],9.5,[0.0, 18.91891891891892, 50.0, 100.0],34.45945945945946
Logical vs. bitwise operator,[0, 3, 3, 90],3.0,[0.0, 3.3333333333333335, 33.33333333333333, 0],1.6666666666666667
Copy-paste error,[10, 13, 89, 93],51.0,[40.0, 27.956989247311824, 32.58426966292135, 61.53846153846154],36.29213483146067
Side effect in assertion,[4, 10, 27, 31],18.5,[0.0, 3.225806451612903, 44.44444444444444, 10.0],6.612903225806452
Useless call,[1, 5, 31, 116],18.0,[100.0, 9.67741935483871, 3.4482758620689653, 20.0],14.838709677419356
Out-of-bounds write,[4, 13, 22, 237],17.5,[18.181818181818183, 12.658227848101266, 23.076923076923077, 100.0],20.62937062937063
Missing return statement,[1, 4, 32, 796],18.0,[100.0, 18.75, 87.43718592964824, 0.0],53.09359296482412
Function address comparison,[0, 1, 3, 4],2.0,[100.0, 0, 0.0, 33.33333333333333],16.666666666666664
Overflowed array index read,[1, 1, 3, 14],2.0,[0.0, 21.428571428571427, 0.0, 100.0],10.714285714285714
Out-of-bounds access,[51, 121, 204, 1158],162.5,[17.647058823529413, 11.658031088082902, 19.607843137254903, 22.31404958677686],18.627450980392158
Identical code for different branches,[3, 3, 36, 109],19.5,[33.33333333333333, 20.18348623853211, 22.22222222222222, 66.66666666666666],27.777777777777775
Non-array delete for scalars,[0, 0, 3, 9],1.5,[100.0, 0, 44.44444444444444, 0],22.22222222222222
Bad bit shift operation,[9, 16, 198, 447],107.0,[11.11111111111111, 12.527964205816556, 6.25, 0.5050505050505051],8.680555555555555
Same on both sides,[3, 4, 16, 50],10.0,[50.0, 25.0, 56.00000000000001, 66.66666666666666],53.0
Integer overflowed argument,[2, 3, 5, 29],4.0,[0.0, 10.344827586206897, 0.0, 50.0],5.172413793103448
Division or modulo by float zero,[0, 5, 9, 11],7.0,[40.0, 33.33333333333333, 27.27272727272727, 0],30.303030303030297
Overflowed return value,[2, 3, 26, 249],14.5,[0.0, 8.032128514056225, 19.230769230769234, 50.0],13.63144887241273
Stray semicolon,[0, 4, 5, 49],4.5,[100.0, 2.0408163265306123, 0, 100.0],51.02040816326531
Unintended sign extension,[3, 3, 75, 341],39.0,[100.0, 8.504398826979472, 24.0, 33.33333333333333],28.666666666666664
Pointer to local outside scope,[2, 3, 22, 27],12.5,[0.0, 27.27272727272727, 25.925925925925924, 100.0],26.599326599326595
Untrusted pointer write,[0, 1, 1, 2],1.0,[0.0, 0.0, 0, 50.0],0.0
Arguments in wrong order,[1, 7, 20, 61],13.5,[0.0, 13.114754098360656, 15.0, 28.57142857142857],14.057377049180328
Untrusted array index write,[0, 0, 1, 1],0.5,[0.0, 0.0, 0, 0],0.0
Don't call,[0, 0, 0, 1],0.0,[100.0, 0, 0, 0],0.0
Evaluation order violation,[0, 2, 7, 16],4.5,[100.0, 37.5, 0, 42.857142857142854],40.17857142857143
Free of address-of expression,[2, 4, 17, 112],10.5,[0.0, 13.392857142857142, 5.88235294117647, 0.0],2.941176470588235
Dead default in switch,[6, 17, 23, 130],20.0,[16.666666666666664, 0.7692307692307693, 60.86956521739131, 41.17647058823529],28.921568627450977
Buffer not null terminated,[9, 15, 29, 346],22.0,[55.55555555555556, 10.404624277456648, 27.586206896551722, 60.0],41.57088122605364
Printf format string issue,[0, 0, 0, 1],0.0,[100.0, 0, 0, 0],0.0
Use after free,[5, 92, 102, 384],97.0,[100.0, 11.197916666666668, 37.254901960784316, 8.695652173913043],24.22640931372549
Allocation size mismatch,[0, 1, 6, 27],3.5,[0.0, 0.0, 66.66666666666666, 0],0.0
Resource leak in object,[0, 0, 6, 57],3.0,[83.33333333333334, 0, 10.526315789473683, 0],5.263157894736842
Double free,[6, 8, 9, 72],8.5,[16.666666666666664, 25.0, 33.33333333333333, 12.5],20.833333333333332
Extra sizeof expression,[0, 35, 55, 241],45.0,[0.0, 8.29875518672199, 0.0, 0],0.0
Allocation too small for type,[0, 0, 4, 413],2.0,[0.0, 1.937046004842615, 0, 0],0.0
Negative array index read,[3, 3, 8, 78],5.5,[33.33333333333333, 12.82051282051282, 25.0, 66.66666666666666],29.166666666666664
Unbounded source buffer,[1, 2, 2, 4],2.0,[100.0, 0.0, 25.0, 100.0],62.5
Readlink used insecurely,[0, 0, 2, 2],1.0,[100.0, 0.0, 0, 0],0.0
Negative array index write,[0, 2, 2, 13],2.0,[100.0, 30.76923076923077, 100.0, 0],65.38461538461539
Macro compares unsigned to 0,[3, 3, 9, 1581],6.0,[0.0, 11.57495256166983, 22.22222222222222, 100.0],16.898587391946027
Memset buffer size of 0,[0, 1, 4, 12],2.5,[0.0, 16.666666666666664, 25.0, 0],8.333333333333332
Memset fill truncated,[0, 1, 2, 6],1.5,[0.0, 0.0, 50.0, 0],0.0
Destination buffer too small,[0, 1, 2, 34],1.5,[0.0, 8.823529411764707, 0, 100.0],4.411764705882353
Array delete misuse,[0, 0, 0, 3],0.0,[0, 0, 0.0, 0],0.0
Write to pointer after free,[0, 0, 1, 5],0.5,[0, 0.0, 100.0, 0],0.0
Wrong operator used,[0, 1, 5, 26],3.0,[0, 19.230769230769234, 40.0, 100.0],29.615384615384617
Failure to restore non-local value,[0, 1, 35, 46],18.0,[0, 23.91304347826087, 20.0, 100.0],21.956521739130437
Missing comma in a string array initialization,[0, 0, 1, 3],0.5,[0, 100.0, 66.66666666666666, 0],33.33333333333333
Infinite loop,[0, 5, 21, 21],13.0,[0, 38.095238095238095, 23.809523809523807, 0.0],11.904761904761903
Missing varargs init or cleanup,[0, 2, 10, 18],6.0,[0, 20.0, 55.55555555555556, 50.0],35.0
Unintended comparison to logical negation,[0, 0, 6, 6],3.0,[0, 16.666666666666664, 16.666666666666664, 0],8.333333333333332
Explicit free of COM interface,[0, 0, 0, 66],0.0,[0, 0, 6.0606060606060606, 0],0.0
Empty virtual destructor,[0, 0, 0, 5],0.0,[0, 0, 0.0, 0],0.0
Insecure chroot,[0, 0, 0, 1],0.0,[0, 0, 0.0, 0],0.0
Pointless string comparison,[0, 0, 1, 3],0.5,[0, 0.0, 0.0, 0],0.0
Incorrect deallocator used,[0, 0, 9, 25],4.5,[0, 0.0, 44.0, 0],0.0
Value not atomically updated,[0, 1, 16, 100],8.5,[0, 12.0, 56.25, 0.0],6.0
